#2 0x55c9441c1baf <unknown>
#3 0x55c9441c1e01 <unknown>
#4 0x55c94420cae4 <unknown>
#5 0x55c944209cbf <unknown>
#6 0x55c9441b5132 <unknown>
#7 0x55c9441b5f41 <unknown>
#8 0x55c944751737 <unknown>
#9 0x55c94474ff39 <unknown>
#10 0x55c94473ac26 <unknown>
#11 0x55c944750ada <unknown>
#12 0x55c944722bd0 <unknown>
#13 0x55c944777c28 <unknown>
#14 0x55c944777dc5 <unknown>
#15 0x55c944789e1e <unknown>
#16 0x7f9cf8ce83c4 start_thread
#17 0x7f9cf8d6b56c __clone3

2026-06-12 17:44:12 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-366-2025-nd-cp-ve-quan-ly-va-dau-tu-von-nha-nuoc-tai-doanh-nghiep--187734 (0 characters)
2026-06-12 17:44:12 | INFO     | crawler |     ...
2026-06-12 17:44:12 | INFO     | crawler |   [10/10]
2026-06-12 17:44:15 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-320-2025-nd-cp-quy-dinh-chi-tiet-mot-so-dieu-va-bien-phap-de-to-chuc-huong-dan-thi-hanh-luat-thue-thu-nhap-doanh-nghiep--186493 (181657 characters)
2026-06-12 17:44:15 | INFO     | crawler |     Nghị định số 320/2025/NĐ-CP Quy định chi tiết một số điều và...
2026-06-12 17:44:15 | INFO     | crawler | Removed 2 records with missing title/content.
2026-06-12 17:44:15 | INFO     | crawler | Saved 14 documents to /home/nguyenlog205/projects/university/semester65/r2ai-aihoi/src/data/legal_document/metadata_law_doanh_nghiệp.json
2026-06-12 17:44:16 | INFO     | crawler | Moving to next page...
2026-06-12 17:44:17 | INFO     | crawler | Processing page 4 – 10 results
2026-06-12 17:44:17 | INFO     | crawler |   [1/10]
2026-06-12 17:44:21 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-268-2025-nd-cp-quy-dinh-chi-tiet-va-huong-dan-mot-so-dieu-cua-luat-khoa-hoc-cong-nghe-va-doi-moi-sang-tao-ve-doi-moi-sang-tao-khuyen-khich-hoat-dong-khoa-hoc-cong-nghe-va-doi-moi-sang-tao-trong-doanh-nghiep-cong-nhan-trung-tam-doi-moi-sang-tao-ho-tro-khoi-nghiep-sang-tao-cong-nhan-ca-nhan-doanh-nghiep-khoi-nghiep-sang-tao-ha-tang-mang-luoi-va-he-sinh-thai-khoi-nghiep-sang-tao--183411 (147856 characters)
2026-06-12 17:44:21 | INFO     | crawler |     Nghị định số 268/2025/NĐ-CP Quy định chi tiết và hướng dẫn m...
2026-06-12 17:44:21 | INFO     | crawler |   [2/10]
2026-06-12 17:44:24 | INFO     | crawler | Processed document: https://vbpl.vn/van-ban/chi-tiet/nghi-dinh-so-248-2025-nd-cp-quy-dinh-che-do-tien-luong-thu-lao-tien-thuong-cua-nguoi-dai-dien-chu-so-huu-truc-tiep-nguoi-dai-dien-phan-von-nha-nuoc-va-kiem-soat-vien-trong-doanh-nghiep-nha-nuoc--183988 (26515 characters)
2026-06-12 17:44:24 | INFO     | crawler |     Nghị định số 248/2025/NĐ-CP Quy định chế độ tiền lương, thù ...
2026-06-12 17:44:24 | INFO     | crawler |   [3/10]
